"Ia","Ib","Ic","Ua","Ub","Uc"
"599.298","-374.332","-224.834","157792.331","-13878.461","-143888.365"
"604.175","-335.604","-267.893","151375.546","-209.581","-151169.519"
"604.175","-296.877","-310.952","144091.629","13545.81","-157583.868"
"604.175","-253.846","-349.706","135940.579","27128.179","-163044.734"
"599.298","-210.815","-388.459","126835.682","40624.035","-167465.434"
"589.545","-163.481","-422.906","117037.08","53773.844","-170845.97"
"574.916","-116.148","-457.354","106544.77","66664.117","-173186.34"
"560.286","-73.117","-487.495","95358.755","79121.831","-174486.546"
"535.904","-25.783","-513.331","83565.746","91146.985","-174659.907"
"516.398","21.55","-539.167","71252.457","102566.556","-173793.103"
"487.14","68.883","-560.696","58505.602","113380.543","-171886.134"
"457.881","116.217","-577.92","45411.894","123415.923","-168852.32"
"423.746","163.551","-590.838","32058.046","132759.209","-164778.342"
"389.611","210.885","-599.45","18444.057","141237.375","-159750.878"
"355.476","253.915","-608.061","4743.356","148936.934","-153683.25"
"316.464","296.946","-608.061","-8957.344","155684.862","-146662.138"
"272.576","335.674","-608.061","-22571.332","161394.648","-138774.222"
"228.688","374.401","-603.755","-36185.321","166152.802","-130019.501"
"184.8","413.129","-595.144","-49452.455","169959.326","-120484.657"
"140.912","447.554","-586.532","-62459.45","172641.195","-110169.69"
"92.147","477.675","-569.308","-75032.879","174284.921","-99161.279"
"43.383","503.493","-552.084","-87259.454","174803.992","-87546.105"
"-0.504","529.312","-526.249","-98879.036","174284.921","-75410.849"
"-49.269","550.827","-504.719","-109891.626","172727.706","-62842.191"
"-98.033","572.343","-474.578","-120210.508","170045.838","-49840.131"
"-141.921","585.252","-444.436","-129835.685","166325.826","-36578.03"
"-190.686","598.161","-409.989","-138593.728","161654.183","-23055.888"
"-234.574","606.767","-371.235","-146571.351","155857.886","-9360.384"
"-278.462","611.07","-332.482","-153595.129","149196.47","4335.118"
"-317.474","611.07","-293.729","-159665.06","141583.422","18117.301"
"-356.485","606.767","-250.669","-164781.144","133105.256","31639.444"
"-395.497","598.161","-203.304","-168856.669","123761.971","45074.906"
"-429.632","589.555","-160.245","-171891.635","113726.591","58163.646"
"-463.767","576.646","-112.879","-173886.041","102999.115","70905.665"
"-493.026","555.13","-65.514","-174839.887","91579.544","83300.962"
"-517.408","537.918","-18.149","-174666.461","79554.39","95089.497"
"-541.79","512.1","29.215","-173452.474","67096.677","106271.268"
"-561.296","481.978","76.58","-171111.215","54206.403","116846.277"
"-575.925","451.857","123.946","-167729.397","41056.595","126727.843"
"-590.555","421.735","167.005","-163393.732","27560.738","135829.285"
"-600.308","383.008","214.37","-157930.794","13891.858","144063.923"
"-605.184","344.28","257.43","-151600.723","222.978","151431.757"
"-605.184","305.552","300.489","-144316.806","-13532.413","157846.106"
"-605.184","262.522","339.242","-136079.042","-27201.293","163220.291"
"-595.431","219.491","377.996","-127060.859","-40610.638","167640.992"
"-585.678","176.46","412.443","-117175.543","-53846.959","171108.208"
"-575.925","129.126","446.89","-106683.233","-66737.232","173448.578"
"-556.42","81.793","477.032","-95497.218","-79281.457","174748.784"
"-536.914","34.459","502.868","-83704.209","-91220.1","174922.145"
"-512.532","-12.874","528.703","-71390.92","-102639.67","174055.341"
"-488.149","-60.208","550.233","-58557.352","-113453.658","172061.692"
"-458.891","-107.541","567.456","-45463.644","-123575.55","169027.878"
"-424.755","-154.875","580.374","-32109.795","-132918.835","165040.58"
"-390.62","-197.906","588.986","-18495.807","-141483.513","159926.436"
"-351.609","-245.24","597.598","-4795.106","-149096.561","153858.808"
"-312.597","-283.967","601.904","8992.308","-155844.489","146837.696"
"-273.585","-326.998","597.598","22606.296","-161640.786","138949.779"
"-229.697","-365.726","593.292","36220.284","-166398.941","130195.059"
"-185.809","-400.15","584.68","49487.419","-170118.952","120573.534"
"-137.045","-434.575","576.068","62494.414","-172800.821","110258.567"
"-93.157","-468.999","558.845","75154.556","-174444.547","99336.836"
"-44.392","-494.818","541.621","87294.418","-175050.131","87721.663"
"4.371","-520.636","520.091","99000.713","-174531.059","75499.726"
"48.259","-542.152","494.256","110013.302","-172887.333","62931.068"
"97.024","-559.364","464.114","120332.185","-170291.976","49929.008"
"145.788","-576.576","433.973","129957.361","-166571.964","36580.227"
"189.676","-589.485","399.525","138715.405","-161813.81","23058.084"
"233.564","-593.788","360.772","146693.028","-156104.025","9362.581"
"277.452","-598.091","322.018","153716.806","-149356.096","-4419.601"
"316.464","-602.395","283.265","159873.45","-141743.049","-18115.105"
"360.352","-598.091","240.206","164989.534","-133264.883","-31723.928"
"394.487","-589.485","192.841","169065.06","-123921.598","-45159.39"
"428.622","-580.879","149.781","172100.025","-113886.217","-58248.13"
"462.757","-563.667","102.416","174094.431","-103072.23","-70990.149"
"492.016","-546.455","55.051","175048.277","-91652.659","-83385.446"
"516.398","-524.939","7.686","174874.851","-79627.505","-95173.98"
"540.781","-503.424","-39.679","173660.864","-67169.791","-106442.432"
"560.286","-473.302","-87.044","171319.605","-54279.518","-117017.441"
"574.916","-443.181","-134.409","167937.787","-41043.197","-126899.007"
"589.545","-408.756","-177.468","163515.408","-27633.853","-135913.768"
"599.298","-374.332","-224.834","158139.184","-13964.973","-144235.087"
"604.175","-335.604","-267.893","151722.4","-209.581","-151516.24"
"604.175","-296.877","-310.952","144438.482","13545.81","-158017.27"
"604.175","-253.846","-349.706","136200.719","27214.691","-163391.455"
"599.298","-210.815","-388.459","127182.536","40710.547","-167898.836"
"589.545","-163.481","-422.906","117297.22","53946.868","-171279.372"
"574.916","-120.451","-457.354","106804.91","66837.141","-173619.742"
"560.286","-73.117","-487.495","95532.181","79294.854","-174919.948"
"540.781","-25.783","-513.331","83739.172","91320.009","-175093.309"
"516.398","21.55","-539.167","71425.884","102826.091","-174226.505"
"487.14","68.883","-560.696","58679.029","113640.079","-172232.856"
"457.881","116.217","-577.92","45498.607","123675.459","-169199.042"
"428.622","163.551","-590.838","32144.759","133105.256","-165211.744"
"389.611","210.885","-599.45","18530.771","141583.422","-160097.6"
"355.476","253.915","-608.061","4830.069","149282.982","-154029.972"
"316.464","296.946","-612.367","-8957.344","156030.91","-147008.86"
"272.576","335.674","-612.367","-22658.046","161740.695","-139120.943"
"228.688","374.401","-603.755","-36185.321","166585.362","-130279.542"
