"Ia","Ib","Ic","Ua","Ub","Uc"
"560.96","-87.513","-471.292","99042.958","73585.069","-172628.39"
"556.083","-78.904","-479.905","96787.196","76007.402","-172801.794"
"551.206","-70.295","-484.212","94531.433","78429.735","-172975.197"
"551.206","-61.687","-488.519","92188.911","80852.069","-173148.601"
"546.329","-48.774","-492.826","89933.148","83274.402","-173235.303"
"541.452","-40.165","-501.44","87590.625","85696.735","-173235.303"
"536.575","-31.557","-505.747","85248.103","88032.556","-173235.303"
"531.698","-22.948","-510.054","82818.82","90368.378","-173148.601"
"526.821","-14.339","-514.361","80476.297","92704.199","-173061.899"
"526.821","-5.731","-518.668","78047.014","94953.508","-172975.197"
"521.944","7.181","-527.282","75617.731","97202.818","-172801.794"
"517.067","15.79","-531.589","73101.689","99452.127","-172541.688"
"512.19","24.398","-535.896","70672.406","101701.437","-172368.284"
"507.313","33.007","-540.203","68156.363","103864.234","-172021.475"
"502.436","41.615","-544.51","65640.32","106027.031","-171674.668"
"492.682","54.528","-548.817","63124.277","108189.829","-171327.86"
"487.805","63.137","-553.124","60608.234","110266.115","-170894.35"
"482.928","71.746","-557.431","58005.431","112342.4","-170374.138"
"478.051","80.354","-557.431","55489.388","114418.686","-169853.926"
"473.174","88.963","-561.738","52886.585","116494.971","-169333.714"
"468.297","97.571","-566.045","50283.782","118484.745","-168726.8"
"458.543","110.484","-570.352","47680.979","120474.519","-168119.885"
"453.666","119.093","-574.659","45078.176","122377.781","-167426.27"
"448.789","127.701","-574.659","42388.613","124281.042","-166732.654"
"443.912","136.31","-578.966","39785.81","126184.304","-165952.336"
"434.158","144.919","-583.273","37096.247","128001.054","-165172.017"
"429.281","153.527","-583.273","34406.684","129817.804","-164304.997"
"424.404","162.136","-587.58","31803.881","131634.554","-163437.978"
"414.65","170.745","-587.58","29114.318","133364.792","-162484.256"
"409.773","183.657","-591.887","26424.755","135095.03","-161530.534"
"400.019","192.266","-591.887","23735.192","136825.268","-160490.11"
"395.142","200.875","-596.194","21045.629","138468.994","-159449.686"
"390.265","209.483","-596.194","18356.065","140112.72","-158409.261"
"380.511","218.092","-596.194","15579.742","141669.934","-157282.135"
"375.634","226.7","-600.501","12890.179","143227.149","-156155.01"
"365.88","235.309","-600.501","10200.616","144784.363","-154941.182"
"356.125","243.918","-600.501","7424.293","146255.065","-153727.354"
"351.248","252.526","-604.808","4734.73","147639.255","-152426.823"
"341.494","261.135","-604.808","2045.167","149109.958","-151126.294"
"336.617","269.743","-604.808","-731.156","150494.148","-149739.062"
"326.863","278.352","-604.808","-3420.719","151791.827","-148351.83"
"321.986","286.961","-604.808","-6110.282","153089.505","-146964.598"
"312.232","295.569","-604.808","-8886.605","154387.184","-145490.663"
"302.478","304.178","-604.808","-11576.168","155598.35","-144016.73"
"297.601","312.786","-604.808","-14265.731","156723.005","-142456.094"
"287.847","317.091","-604.808","-17042.054","157934.172","-140895.458"
