"Ia","Ib","Ic","Ua","Ub","Uc"
"177.457","222.377","65.607","67022.592","42483.099","28741.266"
"179.755","221.237","63.148","67148.202","41697.433","29590.752"
"182.003","220.045","60.748","67257.926","40904.451","30440.102"
"184.221","218.802","58.502","67351.762","40104.306","31289.547"
"186.392","217.505","56.341","67429.685","39297.2","32138.538"
"188.533","216.15","54.368","67491.611","38483.947","32985.74"
"190.628","214.749","52.509","67537.5","37664.748","33830.684"
"192.673","213.303","50.972","67567.403","36840.46","34672.149"
"194.666","211.819","49.586","67581.369","36010.677","35509.715"
"196.625","210.282","48.468","67579.309","35176.407","36343.792"
"198.534","208.694","47.532","67561.16","34337.979","37173.418"
"200.393","207.057","46.897","67526.952","33495.78","37997.613"
"202.2","205.372","46.469","67476.722","32650.976","38816.088"
"203.971","203.641","46.362","67410.488","31803.996","39628.607"
"205.696","201.873","46.469","67328.209","30956.116","40434.986"
"207.372","200.056","46.897","67229.992","30107.836","41234.439"
"209.0","198.202","47.635","67115.892","29258.9","42026.782"
"210.579","196.295","48.569","66985.906","28410.914","42811.258"
"212.109","194.34","49.683","66840.013","27565.556","43587.675"
"213.605","192.338","51.064","66678.386","26722.702","44355.891"
"215.045","190.317","52.689","66501.006","25884.328","45115.822"
"216.437","188.242","54.538","66307.946","25050.482","45866.309"
"217.781","186.116","56.501","66099.211","24224.567","46608.231"
"219.077","183.958","58.65","65874.908","23406.839","47340.599"
"220.329","181.751","60.881","65635.085","22598.88","48062.783"
"221.523","179.527","63.265","65379.706","21803.7","48775.11"
"222.666","177.249","65.707","65108.817","21022.056","49477.09"
"223.749","174.935","68.273","64822.641","20257.563","50168.66"
"224.776","172.57","70.877","64521.041","19512.829","50849.343"
"225.751","170.174","73.512","64204.229","18792.256","51519.064"
"226.677","167.746","76.236","63872.356","18097.687","52177.361"
"227.546","165.285","79.042","63525.441","17434.416","52824.588"
"228.364","162.791","81.922","63163.667","16804.961","53460.004"
"229.126","160.263","84.751","62787.159","16213.816","54083.517"
"229.835","157.68","87.639","62395.785","15667.639","54695.098"
"230.489","155.07","90.582","61989.953","15169.816","55294.39"
"231.092","152.433","93.523","61569.644","14727.621","55881.359"
"231.64","149.768","96.457","61134.914","14346.517","56455.666"
"232.131","147.076","99.381","60686.033","14031.76","57017.272"
"232.57","144.382","102.338","60223.209","13788.122","57565.856"
"232.948","141.656","105.282","59746.44","13619.598","58101.032"
"233.269","138.899","108.254","59255.799","13529.115","58623.033"
"233.539","136.112","111.211","58751.604","13520.464","59131.637"
"233.752","133.297","114.149","58234.282","13589.513","59626.562"
"233.912","130.455","117.107","57703.516","13737.162","60107.776"
"234.019","127.588","120.046","57159.385","13962.918","60575.019"
"234.069","124.698","122.963","56602.449","14260.89","61028.564"
"234.062","121.818","125.895","56032.434","14624.452","61467.741"
"233.998","118.914","128.806","55449.714","15050.514","61892.67"
"233.876","115.988","131.695","54854.605","15533.64","62303.139"
"233.699","113.041","134.559","54246.869","16068.362","62699.141"
"233.466","110.115","137.397","53626.975","16647.576","63080.494"
"233.18","107.17","140.206","52995.598","17269.785","63447.202"
"232.837","104.248","142.986","52352.393","17926.904","63799.111"
"232.44","101.309","145.735","51697.782","18614.74","64136.006"
"231.99","98.356","148.453","51032.127","19331.039","64457.841"
"231.488","95.392","151.138","50355.104","20069.374","64764.432"
"230.929","92.469","153.79","49667.221","20829.612","65055.96"
"230.308","89.539","156.408","48968.593","21607.646","65332.219"
"229.638","86.659","159.02","48259.739","22399.773","65593.197"
"228.913","83.779","161.604","47541.124","23205.18","65838.773"
"228.128","80.904","164.135","46812.778","24022.015","66068.774"
"227.287","78.097","166.632","46074.785","24847.465","66283.139"
"226.397","75.366","169.096","45327.29","25680.088","66481.897"
"225.453","72.59","171.503","44570.912","26518.616","66664.999"
"224.452","69.908","173.896","43805.778","27361.929","66832.34"
"223.399","67.33","176.259","43032.979","28209.046","66983.903"
"222.291","64.795","178.57","42252.043","29058.108","67119.622"
"221.136","62.389","180.847","41463.142","29908.317","67239.504"
"219.932","60.125","183.07","40667.003","30758.034","67343.517"
"218.678","57.938","185.256","39863.79","31608.407","67431.574"
"217.372","55.927","187.406","39053.718","32457.207","67503.643"
"216.013","54.021","189.525","38237.619","33304.772","67559.781"
"214.599","52.33","191.595","37415.709","34149.058","67600.032"
"213.125","50.777","193.612","36588.258","34990.407","67624.384"
"211.604","49.478","195.573","35756.218","35827.706","67632.854"
"210.036","48.351","197.51","34919.873","36661.371","67625.389"
"208.423","47.41","199.4","34079.563","37489.713","67601.95"
"206.763","46.879","201.24","33236.395","38313.12","67562.602"
"205.058","46.557","203.027","32390.015","39130.708","67507.293"
"203.319","46.449","204.758","31542.466","39942.246","67435.977"
"201.527","46.771","206.464","30693.403","40746.893","67348.805"
"199.686","47.304","208.125","29844.238","41544.418","67245.765"
"197.796","48.038","209.741","28994.725","42334.643","67126.822"
"195.87","49.067","211.31","28147.395","43116.827","66992.0"
"193.892","50.372","212.83","27301.145","43891.385","66841.287"
"191.863","51.836","214.301","26458.849","44657.132","66674.747"
"189.785","53.538","215.709","25621.49","45414.44","66492.389"
"187.663","55.364","217.072","24790.195","46162.731","66294.312"
"185.513","57.389","218.386","23966.241","46901.374","66080.719"
"183.316","59.507","219.649","23151.082","47630.741","65851.598"
"181.09","61.787","220.863","22346.361","48350.342","65606.828"
"178.817","64.213","222.028","21555.184","49059.63","65346.581"
"176.516","66.694","223.135","20779.676","49758.494","65070.929"
"174.166","69.293","224.188","20022.246","50446.88","64780.127"
"171.79","71.927","225.189","19285.622","51124.327","64474.117"
"169.385","74.59","226.129","18572.877","51790.773","64152.99"
"166.928","77.338","227.013","17887.457","52446.215","63816.706"
"164.445","80.164","227.845","17234.822","53089.847","63465.31"
"161.933","83.001","228.626","16617.611","53721.949","63099.012"
"159.368","85.842","229.36","16040.454","54341.75","62717.965"
"156.755","88.74","230.042","15510.161","54949.902","62322.163"
"154.124","91.692","230.676","15032.085","55545.42","61911.788"
"151.472","94.586","231.251","14611.717","56128.528","61486.847"
"148.799","97.521","231.771","14252.469","56698.903","61047.423"
"146.104","100.444","232.234","13961.457","57256.523","60593.815"
"143.385","103.401","232.644","13743.237","57801.085","60126.26"
"140.615","106.343","232.999","13599.333","58332.567","59644.936"
"137.827","109.313","233.298","13534.388","58850.685","59149.8"
"135.023","112.268","233.544","13551.738","59355.419","58640.884"
"132.201","115.203","233.739","13648.909","59846.505","58118.293"
"129.362","118.159","233.882","13824.159","60323.62","57582.584"
"126.507","121.096","233.967","14072.355","60786.681","57033.723"
"123.601","124.012","233.994","14391.565","61235.68","56471.749"
"120.724","126.942","233.967","14776.956","61670.403","55896.988"
"117.832","129.852","233.887","15223.236","62090.851","55309.478"
"114.927","132.74","233.75","15724.922","62496.838","54709.565"
"111.971","135.604","233.556","16276.563","62888.375","54097.285"
"109.053","138.442","233.31","16871.144","63265.301","53473.001"
"106.128","141.253","233.013","17505.532","63627.398","52836.743"
"103.151","144.035","232.667","18173.525","63974.625","52188.611"
"100.225","146.787","232.266","18872.636","64307.021","51529.35"
"97.298","149.508","231.811","19597.604","64624.262","50858.613"
"94.374","152.197","231.299","20345.149","64926.474","50176.549"
"91.456","154.854","230.732","21110.935","65213.584","49484.031"
"88.604","157.477","230.113","21895.126","65485.267","48780.726"
"85.703","160.095","229.438","22692.785","65741.575","48067.543"
"82.881","162.66","228.711","23503.171","65982.415","47344.113"
"80.078","165.191","227.929","24323.288","66207.815","46611.002"
"77.301","167.69","227.087","25151.572","66417.717","45868.326"
"74.555","170.156","226.192","25987.777","66611.839","45117.077"
"71.921","172.566","225.238","26829.613","66790.335","44356.38"
"69.255","174.963","224.234","27674.951","66952.97","43587.398"
"66.723","177.307","223.177","28522.814","67099.749","42810.22"
"64.256","179.616","222.064","29372.339","67230.631","42024.99"
"61.951","181.869","220.902","30222.762","67345.647","41231.906"
"59.733","184.085","219.692","31073.419","67444.793","40431.727"
